name,uid,firstname,lastname,groups,password
mounika,5005,stu,devops,coders,Coders@123
dlavanya,5006,stu,devops,coders,Coders@124
vlavanya,5007,stu,devops,testers,Test_123
bhavya,5008,stu,devops,testers,Test_124
sreelakshmi,5009,stu,devops,testers,Test_125
arvishal,5010,stu,devops,testers,Test_126
slohith,5011,stu,devops,testers,Test_127
shilpa,5012,stu,devops,coders,Test_128
manashvini,5013,stu,devops,coders,Cl3rCode5
pavani,5014,Engineer,Alc,admins,Cl3rCode6
vishalnath,5015,Engineer,Alc,admins,Cl3rCode7
veera,5016,Engineer,Alc,admins,Cl3rCode8
thiru,5017,Engineer,Alc,admins,Cl3rCode9
suresh,5018,Engineer,Alc,admins,Cl3rCode10
sainath,5019,Engineer,Alc,sapadmins,Cl3rCode11
chinna,5020,Engineer,Alc,sapadmins,Cl3rCode12
sarika,5021,Engineer,Alc,sapadmins,Cl3rCode13
supraja,5022,Engineer,Alc,sapadmins,A1cLbs01
bhargavi,5023,Engineer,Alc,sapadmins,A1cLbs02
sireesha,5024,Learns,Linux,sapadmins,A1cLbs03
divya,5025,Learns,Linux,developers,A1cLbs04
nuthna,5026,Learns,Linux,developers,A1cLbs05
bharathi,5027,Learns,Linux,developers,A1cLbs06
prem,5028,Learns,Linux,developers,A1cLbs07
amarendra,5029,Learns,Linux,developers,A1cLbs08
bganesh,5030,Learns,Linux,developers,A1cLbs09
